Date,Open,High,Low,Close,Volume
2022-12-28,11.7712,12.6731,11.7712,12.6731,3488.91
2022-12-29,12.5782,12.8629,12.5782,12.7205,386.603
2022-12-30,12.9104,12.9104,12.7679,12.8629,1436.86
2023-01-03,13.1952,13.5749,12.7205,13.3375,48268.6
2023-01-04,13.2901,13.2901,13.1952,13.2426,1167.18
2023-01-05,13.48,13.48,13.48,13.48,21.0683
2023-01-06,13.2901,13.2901,13.2426,13.2901,147.478
2023-01-09,13.5749,13.6698,13.3375,13.3375,3265.59
2023-01-10,13.5749,13.7648,13.3375,13.6223,3640.6
2023-01-11,13.8122,13.8122,13.3375,13.6698,23005.5
2023-01-12,13.7173,13.7648,13.7173,13.7648,928.06
2023-01-13,13.8597,14.097,13.8597,14.097,285.475
2023-01-16,13.1002,13.9071,13.1002,13.6698,10742.7
2023-01-17,13.9546,13.9546,13.48,13.9546,7259.09
2023-01-18,14.2393,14.2393,14.0021,14.2393,6218.31
2023-01-19,14.2393,14.2869,14.0495,14.0495,12506.1
2023-01-20,14.3818,14.3818,14.097,14.2393,2016.23
2023-01-23,14.2393,14.2393,14.2393,14.2393,382.39
2023-01-24,14.097,14.097,14.0021,14.0021,3518.41
2023-01-25,14.0021,14.0021,14.0021,14.0021,0
2023-01-26,14.1919,14.2393,13.7648,14.2393,6380.54
2023-01-27,12.8154,14.0495,12.8154,14.0495,1096.6
2023-01-30,13.7648,13.9546,13.7648,13.8597,446.648
2023-01-31,14.0021,14.0021,14.0021,14.0021,258.087
2023-02-01,14.0495,14.2393,13.9071,13.9546,16866.2
2023-02-02,13.6495,14.2393,13.6495,13.9546,643.637
2023-02-03,13.6223,13.7648,13.6223,13.6223,3318.26
2023-02-06,13.2426,13.4325,13.1477,13.1477,1135.58
2023-02-07,12.8154,13.0527,12.3408,13.0527,3752.27
2023-02-08,12.4357,12.4357,12.4357,12.4357,386.603
2023-02-09,13.0053,13.0053,13.0053,13.0053,15.8012
2023-02-10,13.0053,13.0053,13.0053,13.0053,0
2023-02-13,12.6256,12.7205,12.3883,12.3883,1713.9
2023-02-14,12.3883,12.3883,12.3883,12.3883,0
2023-02-15,12.4357,12.9578,12.4357,12.9578,1088.17
2023-02-16,12.7205,13.0527,12.7205,13.0527,9149.97
2023-02-17,13.0527,13.0527,13.0527,13.0527,0
2023-02-20,13.7648,13.7648,13.2426,13.2426,124.303
2023-02-21,13.1477,13.2426,13.1477,13.1952,1166.13
2023-02-22,12.7205,12.7205,12.7205,12.7205,17.908
2023-02-23,12.7205,12.7205,12.7205,12.7205,0
2023-02-24,12.7205,12.7205,12.7205,12.7205,21.0683
2023-02-27,13.8122,13.9071,11.4864,12.056,10108.5
2023-02-28,12.056,12.056,12.056,12.056,126.41
2023-03-01,12.056,12.3408,12.056,12.2458,1359.96
2023-03-02,12.2458,12.2458,12.2458,12.2458,0
2023-03-03,12.3408,12.3408,12.1035,12.1035,3920.81
2023-03-06,12.1035,12.4357,11.9136,11.9136,4257.91
2023-03-07,12.1035,12.1984,12.1035,12.1509,2000.43
2023-03-08,12.1984,12.2458,12.0086,12.056,6596.49
2023-03-09,12.2458,12.5306,12.2458,12.2458,14380.1
2023-03-10,12.4357,12.4357,12.4357,12.4357,210.683
2023-03-13,12.5782,13.0527,12.3408,12.3408,12490.3
2023-03-14,12.134,12.3408,12.134,12.3408,47303.6
2023-03-15,12.3454,13.0527,12.3408,12.3408,47302.6
2023-03-16,12.3408,12.3408,12.3408,12.3408,0
2023-03-17,11.961,12.1509,11.961,12.1509,9638.76
2023-03-20,11.8187,11.961,11.7238,11.7712,13659.6
2023-03-21,11.8661,11.961,11.8661,11.961,737.391
2023-03-22,11.8187,11.8187,11.6762,11.6762,6121.4
2023-03-23,11.961,12.056,11.961,12.056,1244.08
2023-03-24,12.0086,12.0086,11.7712,11.7712,113.769
2023-03-27,11.2491,11.2491,11.2491,11.2491,875.389
2023-03-28,11.1542,11.8187,11.1542,11.5339,7284.37
2023-03-29,11.5339,11.5339,11.5339,11.5339,0
2023-03-30,12.8154,12.8154,12.8154,12.8154,396.084
2023-03-31,12.8154,12.8154,12.1035,12.2934,1444.23
2023-04-03,12.1984,12.1984,12.1509,12.1509,691.041
2023-04-04,12.1509,12.1509,12.1509,12.1509,0
2023-04-05,12.1509,12.1509,12.1509,12.1509,2771.53
2023-04-06,12.1509,12.1509,12.1509,12.1509,0
2023-04-11,12.1509,12.1509,12.1509,12.1509,54.7776
2023-04-12,12.1035,12.2934,11.7238,12.1984,4490.71
2023-04-13,12.3408,12.9104,12.2934,12.9104,3756.48
2023-04-14,12.9104,12.9104,12.9104,12.9104,0
2023-04-17,12.3408,12.7679,12.3408,12.4357,3631.12
2023-04-18,12.3883,12.8154,12.3883,12.8154,2453.4
2023-04-19,12.4357,12.4357,12.056,12.056,1158.75
2023-04-20,12.2458,12.5782,12.2458,12.5782,22669.5
2023-04-21,12.3408,12.3408,12.1509,12.1509,445.595
2023-04-24,12.2934,12.5306,12.1509,12.1509,7440.28
2023-04-25,12.4832,12.4832,12.4832,12.4832,21.0683
2023-04-26,12.4832,12.4832,12.4832,12.4832,0
2023-04-27,12.5306,12.5306,12.4357,12.4832,16408
2023-04-28,12.4832,12.4832,12.4832,12.4832,0
2023-05-02,12.5782,12.8154,12.5782,12.8154,24431.8
2023-05-03,12.8154,12.8154,12.4357,12.4832,9659.83
2023-05-04,12.7679,12.9104,12.4832,12.4832,1968.83
2023-05-05,12.4832,12.4832,12.4357,12.4357,2256.41
2023-05-09,12.6256,12.6256,12.5782,12.5782,2625.11
2023-05-10,12.6256,12.6256,12.3408,12.3408,45908.9
2023-05-11,12.3883,12.3883,12.3408,12.3408,10332.9
2023-05-12,12.2458,12.2934,12.2458,12.2458,1067.11
2023-05-15,12.4357,12.4357,12.2934,12.2934,106.395
2023-05-16,11.7712,12.2458,11.7712,12.0086,1964.62
2023-05-17,11.961,12.056,11.8661,11.961,7620.41
2023-05-18,11.961,11.961,11.961,11.961,0
2023-05-19,11.8661,11.8661,11.5339,11.5339,1508.49
2023-05-22,11.5339,11.5339,11.5339,11.5339,0
2023-05-23,11.8187,12.0086,11.8187,12.0086,1801.34
2023-05-24,12.1509,12.1509,12.0086,12.0086,10535.2
2023-05-25,11.8661,11.961,11.8187,11.9136,13228.8
2023-05-26,11.8187,12.2458,11.8187,12.056,6634.41
2023-05-30,12.2934,12.2934,12.0086,12.0086,61.0981
2023-05-31,12.1035,12.1509,11.4864,11.6762,22975
2023-06-01,12.0086,12.1035,11.8661,12.056,4315.84
2023-06-02,12.2458,12.6731,12.2458,12.6731,10584.7
2023-06-05,12.3883,12.6256,12.3408,12.4832,21257.9
2023-06-06,12.3883,12.4832,12.3883,12.3883,4830.96
2023-06-07,12.5306,12.6256,12.5306,12.6256,367428
2023-06-08,12.7679,12.7679,12.7679,12.7679,421.366
2023-06-09,12.6256,12.6256,12.5306,12.5306,1158.75
2023-06-12,12.3408,12.5306,12.3408,12.3408,16004.5
2023-06-13,12.5782,12.7205,12.5782,12.6256,16511.2
2023-06-14,12.8154,13.1002,12.8154,13.1002,3647.98
2023-06-15,12.8629,13.0053,12.5306,12.6731,7103.18
2023-06-16,12.9104,13.2901,12.9104,13.2901,5286.04
2023-06-19,13.1952,13.48,13.0527,13.0527,8622.21
2023-06-20,13.2426,13.2426,13.1477,13.1477,4011.41
2023-06-21,13.1856,13.3816,13.1856,13.2836,2568.49
2023-06-22,12.9405,13.1366,12.7444,12.7444,9800.68
2023-06-23,12.9405,12.9405,12.9405,12.9405,350.898
2023-06-26,12.6954,12.9405,12.6954,12.9405,4290.34
2023-06-27,13.2346,13.2346,12.9895,13.0875,765.04
2023-06-28,13.1856,13.4307,13.1366,13.4307,6649.73
2023-06-29,11.9601,11.9601,11.9601,11.9601,396.801
2023-06-30,13.4307,13.4307,12.9895,13.0875,28158.6
2023-07-03,13.3816,13.6267,13.3816,13.4307,1253.64
2023-07-04,13.2836,13.4797,13.2346,13.2346,6829.26
2023-07-05,13.1856,13.2346,13.1856,13.2346,2825.55
2023-07-06,13.2346,13.2346,13.2346,13.2346,220.331
2023-07-07,13.2346,13.3816,13.1856,13.1856,65267.1
2023-07-10,13.4307,13.6757,13.3326,13.4797,25184.1
2023-07-11,13.5287,13.6267,13.3816,13.5777,9148.86
2023-07-12,13.4797,13.4797,13.3326,13.3326,3782.36
2023-07-13,13.3326,13.6267,13.3326,13.4307,453.924
2023-07-14,14.0189,14.1169,13.7248,13.9208,3658.93
2023-07-17,14.1169,14.1169,13.8228,13.8228,132.607
2023-07-18,13.8718,13.8718,13.6757,13.6757,4642.26
2023-07-19,13.8228,13.9208,13.7248,13.8228,7163.84
2023-07-20,13.8228,14.0189,13.7248,13.8718,2239.01
2023-07-21,13.8718,13.8718,13.8718,13.8718,302.956
2023-07-24,13.7248,13.7248,13.4797,13.5287,4518.84
2023-07-25,13.8228,14.411,13.8228,14.1169,1813.65
2023-07-26,14.2149,14.2149,13.9208,14.2149,1701.45
2023-07-27,14.2149,14.2149,14.2149,14.2149,0
2023-07-28,14.362,14.46,14.2639,14.362,789.522
2023-07-31,14.6071,14.6071,14.509,14.509,166.268
2023-08-01,14.509,14.509,14.509,14.509,0
2023-08-02,14.0679,14.313,14.0679,14.0679,528.388
2023-08-03,14.0679,14.0679,14.0679,14.0679,0
2023-08-04,14.0679,14.0679,14.0679,14.0679,89.7647
2023-08-07,13.9208,13.9208,13.9208,13.9208,2540.95
2023-08-08,13.9208,13.9208,13.9208,13.9208,0
2023-08-09,13.9208,14.1169,13.9208,14.1169,66.3035
2023-08-10,14.46,14.46,13.8228,13.8228,8.16043
2023-08-11,14.0679,14.1169,14.0679,14.1169,1155.72
2023-08-14,13.8718,13.8718,13.7248,13.8718,202.99
2023-08-15,13.7248,13.7248,13.7248,13.7248,7038.37
2023-08-16,13.5287,13.5287,13.5287,13.5287,18.3609
2023-08-17,13.5287,13.5287,13.5287,13.5287,0
2023-08-18,13.2346,13.2346,13.1366,13.1366,7737.11
2023-08-21,13.1366,13.1366,13.1366,13.1366,0
2023-08-22,13.4797,13.7738,13.4797,13.7738,1107.77
2023-08-23,13.7248,13.7248,13.7248,13.7248,12.2406
2023-08-24,14.1169,14.1169,14.1169,14.1169,69.3636
2023-08-25,13.8718,13.8718,13.8718,13.8718,1.02005
2023-08-29,14.0679,14.0679,13.9208,13.9208,15.3008
2023-08-30,14.2149,14.411,14.2149,14.411,15300.8
2023-08-31,14.411,14.46,14.411,14.411,31023.9
2023-09-01,14.6561,15.0482,14.6561,14.8521,12838.4
2023-09-04,15.4894,15.5874,15.3423,15.5874,8741.86
2023-09-05,15.2933,15.5384,15.2933,15.4894,4336.25
2023-09-06,15.1463,15.1463,15.0482,15.0482,1048.61
2023-09-07,15.0972,15.1463,15.0482,15.0482,1215.9
2023-09-08,15.0972,15.1953,15.0972,15.1953,2847.99
2023-09-11,15.3913,15.3913,15.2933,15.2933,3828.26
2023-09-12,15.1463,15.1463,14.9012,14.9502,7075.09
2023-09-13,14.9992,15.2443,14.9992,15.0972,104.045
2023-09-14,15.2933,15.5384,15.2933,15.2933,146548
2023-09-15,14.9992,15.5874,14.9992,15.2933,52009.5
2023-09-18,14.9992,15.1463,14.9502,14.9502,6820.08
2023-09-19,14.9502,15.0972,14.9502,15.0972,12494.6
2023-09-20,15.0482,15.0482,14.8521,15.0482,2860.23
2023-09-21,14.7541,15.0972,14.7541,15.0972,278.474
2023-09-22,14.7051,14.9012,14.7051,14.9012,2891.85
2023-09-25,14.9012,14.9012,14.9012,14.9012,0
2023-09-26,14.9992,15.0482,14.9502,14.9992,2138.03
2023-09-27,15.1463,15.1463,15.0482,15.0482,1002.71
2023-09-28,14.8521,15.0482,14.8031,14.8031,9855.76
2023-09-29,15.0482,15.1953,14.9992,15.0482,4875.85
2023-10-02,15.0482,15.1463,15.0482,15.0972,851.745
2023-10-03,15.0972,15.0972,15.0972,15.0972,0
2023-10-04,14.362,14.509,14.362,14.509,6941.46
2023-10-05,14.6071,14.7051,14.509,14.7051,10761.5
2023-10-06,14.8031,14.8031,14.8031,14.8031,346.818
2023-10-09,14.2639,14.2639,14.2639,14.2639,325.397
2023-10-10,14.313,14.6071,14.313,14.6071,770.141
2023-10-11,14.9012,14.9012,14.9012,14.9012,13.2607
2023-10-12,14.6561,14.7051,14.6561,14.7051,276.434
2023-10-13,14.6561,14.7051,14.6561,14.7051,85.6845
2023-10-16,14.6071,14.8521,14.6071,14.8521,158.108
2023-10-17,14.9012,14.9012,14.9012,14.9012,444.743
2023-10-18,14.558,14.9012,14.509,14.509,1682.06
2023-10-19,14.9992,14.9992,14.8521,14.8521,272.354
2023-10-20,14.8521,14.8521,14.8521,14.8521,0
2023-10-23,14.509,14.509,13.8718,13.8718,844.605
2023-10-24,14.2639,14.2639,14.2639,14.2639,1326.07
2023-10-25,14.1659,14.411,14.1659,14.411,2425.68
2023-10-26,14.362,14.411,14.2639,14.411,15473.2
2023-10-27,14.0679,14.2149,14.0679,14.2149,3098.92
2023-10-30,14.2149,14.2149,14.2149,14.2149,9.18048
2023-10-31,14.0679,14.8031,14.0679,14.8031,286.635
2023-11-01,14.0189,14.0189,12.5974,12.5974,1232.22
2023-11-02,13.9208,13.9208,13.9208,13.9208,5.10027
2023-11-03,14.7541,14.7541,13.8228,13.8228,2655.2
2023-11-06,13.8228,13.8228,13.8228,13.8228,0
2023-11-07,13.8228,13.8228,13.8228,13.8228,0
2023-11-08,14.2149,14.2149,14.2149,14.2149,102.005
2023-11-09,14.1169,14.1659,14.1169,14.1659,568.17
2023-11-10,14.1659,14.1659,14.1659,14.1659,0
2023-11-13,14.313,14.313,14.313,14.313,9.18048
2023-11-14,14.7051,14.7051,14.7051,14.7051,387.62
2023-11-15,14.7051,14.7051,14.46,14.46,465.144
